id	name	type	resourceGroup	subscriptionId	location	skuName	skuTier	powerState	tags
/subscriptions/44444444-4444-4444-4444-444444444444/resourceGroups/rg-network-hub/providers/Microsoft.Network/networkInterfaces/networ-00000	networ-00000	Microsoft.Network/networkInterfaces	rg-network-hub	44444444-4444-4444-4444-444444444444	eastus2	-	Basic	-	environment=dev;cost-center=platform
/subscriptions/33333333-3333-3333-3333-333333333333/resourceGroups/rg-aks-prod/providers/Microsoft.Compute/virtualMachines/virtua-00001	virtua-00001	Microsoft.Compute/virtualMachines	rg-aks-prod	33333333-3333-3333-3333-333333333333	westeurope	Standard_B2s	Standard	deallocated	environment=stage;cost-center=platform
/subscriptions/22222222-2222-2222-2222-222222222222/resourceGroups/rg-sql-prod/providers/Microsoft.Sql/servers/databases/databa-00002	databa-00002	Microsoft.Sql/servers/databases	rg-sql-prod	22222222-2222-2222-2222-222222222222	eastus	GP_S_Gen5_2	Basic	-	environment=;cost-center=platform
/subscriptions/44444444-4444-4444-4444-444444444444/resourceGroups/rg-network-hub/providers/Microsoft.Sql/servers/databases/databa-00003	databa-00003	Microsoft.Sql/servers/databases	rg-network-hub	44444444-4444-4444-4444-444444444444	swedencentral	GP_Gen5_4	Basic	-	environment=;cost-center=platform
/subscriptions/33333333-3333-3333-3333-333333333333/resourceGroups/rg-ml-train/providers/Microsoft.Compute/virtualMachines/virtua-00004	virtua-00004	Microsoft.Compute/virtualMachines	rg-ml-train	33333333-3333-3333-3333-333333333333	eastus	Standard_E8s_v5	Standard	deallocated	environment=test;cost-center=data
/subscriptions/22222222-2222-2222-2222-222222222222/resourceGroups/rg-mgmt/providers/Microsoft.Compute/virtualMachines/virtua-00005	virtua-00005	Microsoft.Compute/virtualMachines	rg-mgmt	22222222-2222-2222-2222-222222222222	eastus2	Standard_D4s_v5	Standard	deallocated	environment=test;cost-center=
/subscriptions/44444444-4444-4444-4444-444444444444/resourceGroups/rg-platform-weu/providers/Microsoft.Network/publicIPAddresses/public-00006	public-00006	Microsoft.Network/publicIPAddresses	rg-platform-weu	44444444-4444-4444-4444-444444444444	northeurope	Standard	Standard	-	environment=prod;cost-center=platform
/subscriptions/33333333-3333-3333-3333-333333333333/resourceGroups/rg-network-hub/providers/Microsoft.Storage/storageAccounts/storag-00007	storag-00007	Microsoft.Storage/storageAccounts	rg-network-hub	33333333-3333-3333-3333-333333333333	swedencentral	Standard_ZRS	Standard	-	environment=;cost-center=platform
/subscriptions/33333333-3333-3333-3333-333333333333/resourceGroups/rg-network-hub/providers/Microsoft.Network/publicIPAddresses/public-00008	public-00008	Microsoft.Network/publicIPAddresses	rg-network-hub	33333333-3333-3333-3333-333333333333	eastus	Standard	Standard	-	environment=prod;cost-center=eng
/subscriptions/33333333-3333-3333-3333-333333333333/resourceGroups/rg-aks-prod/providers/Microsoft.Network/networkInterfaces/networ-00009	networ-00009	Microsoft.Network/networkInterfaces	rg-aks-prod	33333333-3333-3333-3333-333333333333	swedencentral	-	Basic	-	environment=test;cost-center=eng
